SUB_HAP,SUB_SAT,SUB_SLP,DIC_PAR,DIC_FRI,DIC_OTH,ULT_PRO_PAR,ULT_PRO_FRI,ULT_PRO_OTH,ULT_REC_PAR,ULT_REC_FRI,ULT_REC_OTH,TRU_PAR,TRU_FRI,TRU_OTH,SPN_UNM,SPN_THK,SPN_FEA,SPN_LIV,SPN_IMP,KAN_SEC,KAN_THI,KAN_SUP,KAN_PRD,KAN_KYK,DED_SHI,DED_TEN,DED_JIG,DED_KIS,DED_PUN,SEX_IMP,SEX_MAS,SEX_SEX,SEX_OBJ,SEX_NIN,SEX_NNA,SEX_IMP_num,SEX_MAS_nen,SEX_SEX_nen,SEX_NIN_cen,F_SEX,F_GEN_2,F_GEN,F_FGR,F_INK,F_INS,F_INK_cen,F_INS_cen,F_TAN,ARE,PRE,MAR,CHI,ID
7,5,8,5,5,5,5,5,5,3,3,1,3,3,0,3,3,3,3,4,3,3,3,2,3,4,4,4,4,4,5,,6,Isei,N5-7nin,1,5,,52,6,female,40_af,40dai,Sen_Sotsu,y400-600,y400-600,5,5,SMA(android),Shikoku,38,NotMarried,Child,766
10,5,4,5,3,0,5,3,1,5,3,1,5,3,2,3,3,3,4,4,3,2,3,2,4,3,3,4,4,4,4,3,1,Isei,N5-7nin,0,4,4,1,6,male,40_bf,40dai,Dai_Sotsu,y400-600,y400-600,5,5,SMA(android),Kanto,13,Married,Child,767
7,6,4,5,5,0,3,3,8,5,5,9,5,5,1,2,3,2,2,4,2,2,2,3,3,3,3,3,3,3,,,,Isei,,4,,,,,male,30_bf,30dai,Dai_Sotsu,y200-400,y400-600,3,5,Tab(iOS_iPad),Kinki,26,Married,NoChild,768
7,5,7,5,3,0,4,5,5,1,5,5,6,5,4,2,4,4,4,4,3,2,3,3,3,2,2,2,3,3,5,,,Isei,N5-7nin,2,5,,,6,female,20_af,20dai,Sen_Sotsu,y1-200,y200-400,1,3,SMA(iOS_iPhone),Kanto,9,Married,NoChild,769
7,8,7,4,1,0,6,5,3,4,3,2,10,6,4,3,4,4,3,4,3,3,2,1,4,2,2,2,2,2,1,1,2,Isei,N5-7nin,0,1,1,2,6,female,20_af,20dai,Dai_Sotsu,y200-400,y800-1000,3,9,PC(Windows),Kanto,11,Married,Child,770
8,8,8,4,1,0,5,5,5,5,5,5,9,5,2,3,3,3,3,4,2,2,2,1,3,1,1,1,4,3,2,1,3,Isei,N2-3nin,0,2,1,4,2.5,female,30_bf,30dai,Dai_Sotsu,y200-400,y800-1000,3,9,PC(Windows),Kanto,13,Married,Child,771
7,7,8,5,3,2,5,5,5,5,5,5,3,2,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,5,7,1,Isei,N21-30nin,0,5,130,1,25.5,female,40_bf,40dai,Sen_Chu,y0,y400-600,0,5,PC(Windows),Chubu,19,Married,NoChild,772
5,3,3,5,1,0,5,1,1,3,2,1,3,2,1,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,2,3,,Isei,N5-7nin,1,2,4,,6,female,40_af,40dai,Kou_Sotsu,y1-200,y200-400,1,3,Tab(iOS_iPad),Kinki,28,Married,Child,773
8,8,7,10,5,0,10,3,0,3,3,0,5,5,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,4,6,4,Isei,N1nin,0,4,52,12,1,male,20_af,20dai,Dai_Sotsu,y600-800,y800-1000,7,9,PC(Windows),Kinki,27,NotMarried,NoChild,774
7,7,6,5,5,0,5,5,3,3,3,0,5,5,3,2,3,2,3,3,2,2,2,2,3,2,2,2,3,2,3,2,6,Isei,N1nin,0,3,2,52,1,female,40_bf,40dai,Kou_Sotsu,y1-200,y400-600,1,5,SMA(android),Hokkaido,1,Married,NoChild,775
8,8,6,5,3,2,5,5,5,5,5,5,5,5,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,5,7,5,Isei,N41-100nin,0,5,130,26,70.5,female,30_bf,30dai,Kou_Sotsu,y1-200,y800-1000,1,9,SMA(iOS_iPhone),Kanto,10,Married,Child,776
